DFO_ID,Year
1586,2000
1587,2000
1595,2000
1614,2000
1627,2000
1631,2000
1641,2000
1725,2001
1747,2001
1772,2001
1778,2001
1781,2001
1789,2001
1791,2001
1793,2001
1810,2001
1818,2001
1820,2001
1829,2001
1840,2001
1885,2002
1907,2002
1908,2002
1910,2002
1917,2002
1919,2002
1921,2002
1925,2002
1931,2002
1938,2002
1939,2002
1943,2002
1951,2002
1962,2002
1971,2002
1972,2002
1974,2002
1977,2002
1979,2002
1980,2002
1981,2002
1985,2002
1991,2002
1995,2002
1996,2002
1997,2002
1998,2002
1999,2002
2007,2002
2009,2002
2019,2002
2023,2002
2024,2002
2029,2002
2035,2002
2039,2002
2041,2002
2042,2002
2045,2002
2046,2002
2049,2002
2052,2002
2056,2002
2059,2002
2060,2002
2061,2002
2063,2002
2064,2002
2066,2002
2070,2002
2073,2002
2075,2002
2076,2002
2077,2002
2079,2002
2090,2002
2097,2002
2099,2002
2103,2002
2104,2002
2106,2002
2115,2003
2116,2003
2117,2003
2119,2003
2120,2003
2127,2003
2130,2003
2134,2003
2136,2003
2137,2003
2138,2003
2140,2003
2143,2003
2145,2003
2148,2003
2152,2003
2154,2003
2158,2003
2160,2003
2161,2003
2162,2003
2167,2003
2169,2003
2170,2003
2172,2003
2173,2003
2174,2003
2175,2003
2176,2003
2177,2003
2178,2003
2179,2003
2180,2003
2181,2003
2182,2003
2183,2003
2187,2003
2191,2003
2193,2003
2194,2003
2198,2003
2206,2003
2208,2003
2209,2003
2214,2003
2216,2003
2220,2003
2221,2003
2222,2003
2224,2003
2225,2003
2238,2003
2248,2003
2253,2003
2257,2003
2261,2003
2264,2003
2269,2003
2273,2003
2276,2003
2279,2003
2284,2003
2296,2003
2303,2003
2311,2003
2314,2003
2316,2003
2320,2003
2330,2003
2332,2003
2336,2003
2337,2003
2338,2003
2342,2003
2345,2003
2347,2003
2348,2003
2356,2003
2359,2003
2361,2003
2366,2003
2368,2003
2370,2003
2372,2003
2380,2003
2381,2003
2386,2003
2395,2003
2403,2003
2407,2003
2412,2004
2415,2004
2417,2004
2423,2004
2424,2004
2425,2004
2426,2004
2428,2004
2430,2004
2431,2004
2432,2004
2433,2004
2434,2004
2437,2004
2440,2004
2441,2004
2442,2004
2443,2004
2444,2004
2448,2004
2455,2004
2458,2004
2460,2004
2461,2004
2462,2004
2463,2004
2469,2004
2471,2004
2473,2004
2476,2004
2480,2004
2482,2004
2491,2004
2495,2004
2498,2004
2507,2004
2510,2004
2514,2004
2515,2004
2516,2004
2519,2004
2522,2004
2527,2004
2539,2004
2543,2004
2554,2004
2555,2004
2565,2004
2566,2004
2570,2004
2576,2004
2584,2004
2586,2004
2587,2004
2588,2004
2589,2004
2592,2004
2596,2004
2597,2004
2598,2004
2599,2004
2600,2004
2601,2004
2606,2005
2612,2005
2613,2005
2620,2005
2625,2005
2626,2005
2627,2005
2629,2005
2632,2005
2633,2005
2634,2005
2637,2005
2638,2005
2640,2005
2641,2005
2648,2005
2649,2005
2650,2005
2657,2005
2668,2005
2669,2005
2675,2005
2676,2005
2680,2005
2683,2005
2684,2005
2685,2005
2686,2005
2688,2005
2689,2005
2690,2005
2692,2005
2693,2005
2694,2005
2698,2005
2699,2005
2709,2005
2711,2005
2717,2005
2718,2005
2719,2005
2720,2005
2721,2005
2722,2005
2724,2005
2725,2005
2726,2005
2728,2005
2730,2005
2731,2005
2732,2005
2733,2005
2734,2005
2735,2005
2736,2005
2737,2005
2742,2005
2743,2005
2744,2005
2746,2005
2747,2005
2748,2005
2753,2005
2754,2005
2758,2005
2760,2005
2761,2005
2768,2005
2773,2005
2776,2005
2779,2006
2780,2006
2782,2006
2784,2006
2785,2006
2786,2006
2789,2006
2798,2006
2802,2006
2803,2006
2815,2006
2817,2006
2818,2006
2821,2006
2823,2006
2825,2006
2827,2006
2829,2006
2832,2006
2834,2006
2839,2006
2841,2006
2851,2006
2852,2006
2859,2006
2867,2006
2871,2006
2879,2006
2890,2006
2894,2006
2896,2006
2900,2006
2911,2006
2916,2006
2919,2006
2921,2006
2923,2006
2924,2006
2931,2006
2935,2006
2940,2006
2947,2006
2948,2006
2949,2006
2951,2006
2952,2006
2954,2006
2955,2006
2956,2006
2957,2006
2958,2006
2959,2006
2961,2006
2963,2006
2995,2006
3002,2006
3004,2006
3007,2006
3014,2007
3016,2007
3019,2007
3055,2007
3058,2007
3061,2007
3065,2007
3067,2007
3068,2007
3070,2007
3071,2007
3073,2007
3075,2007
3076,2007
3078,2007
3079,2007
3080,2007
3081,2007
3083,2007
3084,2007
3085,2007
3089,2007
3092,2007
3094,2007
3095,2007
3097,2007
3098,2007
3099,2007
3100,2007
3101,2007
3103,2007
3104,2007
3107,2007
3109,2007
3110,2007
3112,2007
3113,2007
3114,2007
3115,2007
3116,2007
3118,2007
3119,2007
3120,2007
3122,2007
3123,2007
3125,2007
3127,2007
3128,2007
3132,2007
3134,2007
3136,2007
3137,2007
3141,2007
3143,2007
3144,2007
3145,2007
3146,2007
3149,2007
3150,2007
3151,2007
3153,2007
3160,2007
3161,2007
3162,2007
3164,2007
3165,2007
3166,2007
3167,2007
3168,2007
3169,2007
3170,2007
3171,2007
3179,2007
3180,2007
3183,2007
3184,2007
3188,2007
3191,2007
3193,2007
3195,2007
3197,2007
3198,2007
3199,2007
3205,2007
3208,2007
3210,2007
3212,2007
3214,2007
3216,2007
3217,2007
3218,2007
3219,2007
3220,2007
3221,2007
3226,2007
3235,2007
3237,2007
3239,2007
3242,2007
3243,2007
3246,2007
3247,2007
3249,2007
3251,2008
3252,2008
3254,2008
3256,2008
3257,2008
3259,2008
3263,2008
3267,2008
3268,2008
3270,2008
3271,2008
3272,2008
3273,2008
3274,2008
3279,2008
3280,2008
3282,2008
3285,2008
3287,2008
3291,2008
3294,2008
3297,2008
3298,2008
3300,2008
3301,2008
3302,2008
3305,2008
3306,2008
3311,2008
3312,2008
3323,2008
3325,2008
3327,2008
3331,2008
3332,2008
3336,2008
3338,2008
3339,2008
3340,2008
3345,2008
3348,2008
3356,2008
3359,2008
3360,2008
3365,2008
3366,2008
3367,2008
3368,2008
3370,2008
3371,2008
3372,2008
3382,2008
3383,2008
3384,2008
3394,2008
3404,2008
3405,2008
3413,2008
3421,2008
3422,2008
3425,2008
3426,2008
3427,2008
3436,2009
3437,2009
3441,2009
3444,2009
3445,2009
3446,2009
3448,2009
3452,2009
3454,2009
3457,2009
3462,2009
3464,2009
3465,2009
3467,2009
3474,2009
3476,2009
3485,2009
3490,2009
3493,2009
3494,2009
3495,2009
3496,2009
3518,2009
3530,2009
3531,2009
3534,2009
3536,2009
3543,2009
3544,2009
3551,2009
3552,2009
3553,2009
3555,2009
3559,2009
3567,2009
3572,2009
3577,2009
3590,2010
3591,2010
3602,2010
3607,2010
3615,2010
3616,2010
3622,2010
3625,2010
3629,2010
3630,2010
3633,2010
3635,2010
3636,2010
3637,2010
3639,2010
3640,2010
3642,2010
3643,2010
3648,2010
3650,2010
3651,2010
3652,2010
3653,2010
3654,2010
3655,2010
3656,2010
3657,2010
3658,2010
3659,2010
3661,2010
3662,2010
3663,2010
3665,2010
3666,2010
3667,2010
3668,2010
3670,2010
3671,2010
3673,2010
3674,2010
3676,2010
3678,2010
3679,2010
3681,2010
3688,2010
3689,2010
3692,2010
3696,2010
3698,2010
3707,2010
3713,2010
3714,2010
3716,2010
3717,2010
3721,2010
3722,2010
3723,2010
3726,2010
3732,2010
3734,2010
3737,2010
3741,2010
3747,2010
3750,2010
3752,2010
3754,2010
3756,2010
3765,2011
3772,2011
3775,2011
3776,2011
3777,2011
3778,2011
3782,2011
3786,2011
3787,2011
3793,2011
3795,2011
3799,2011
3801,2011
3810,2011
3812,2011
3815,2011
3820,2011
3843,2011
3846,2011
3850,2011
3853,2011
3854,2011
3856,2011
3857,2011
